EventID,OT,Latitude,Longitude,Depth,Magnitude,EvType
86,2015-11-07 13:44:44.700,35.9,140,107.5,5,earthquake
87,2015-11-07 19:40:13.500,16.5,119.8,37,5.5,earthquake
88,2015-11-07 20:57:51.800,-10.2,111.2,10,5,earthquake
89,2015-11-07 22:53:54.400,1.6,126.6,37.1,5.2,earthquake
90,2015-11-08 08:13:37.400,-17.3,-69.4,159.9,5.7,earthquake
91,2015-11-08 09:34:57.300,0.8,98.9,69,5.7,earthquake
92,2015-11-08 10:42:01.600,6.9,94.5,8,5.5,earthquake
93,2015-11-08 11:33:14.600,51.5,-173,20,5.7,earthquake
94,2015-11-08 11:54:39.300,6.8,94.6,10.1,5.1,earthquake
95,2015-11-08 13:23:47.800,6.8,94.5,9.8,5.2,earthquake
96,2015-11-08 14:34:05.400,6.7,94.4,10,5.1,earthquake
97,2015-11-08 15:40:56.400,48.4,154.8,49.5,5.2,earthquake
98,2015-11-08 16:47:02.200,6.8,94.6,10,6.6,earthquake
99,2015-11-08 19:14:47.400,7,94.5,10,5.6,earthquake
100,2015-11-08 23:47:43.700,-56,-27.3,75.1,5.1,earthquake
101,2015-11-09 04:46:27.700,-23.6,-69,99.2,5.3,earthquake
102,2015-11-09 06:12:15.700,6.5,94.9,23.3,5.3,earthquake
103,2015-11-09 08:12:49.600,6.4,94.8,35,5.5,earthquake
104,2015-11-09 13:57:36.400,-7,150.8,7.6,5.1,earthquake
105,2015-11-09 16:03:46.100,51.6,-173.1,15,6.5,earthquake
106,2015-11-09 17:03:06.900,18,147,48.8,5,earthquake
107,2015-11-09 23:54:14.400,51.4,-172.9,44.4,5,earthquake
108,2015-11-10 17:48:23.100,-22.2,-68.7,109.3,5.3,earthquake
109,2015-11-11 01:54:38.500,-29.5,-72,12,6.9,earthquake
110,2015-11-11 02:23:39.300,-29.5,-71.9,10,5.1,earthquake
111,2015-11-11 02:46:19.900,-29.5,-72.1,10,6.9,earthquake
112,2015-11-11 03:07:49.000,-29.5,-72.1,10,5.1,earthquake
113,2015-11-11 06:26:33.700,-9.1,-108.6,10,5.6,earthquake
114,2015-11-11 22:17:59.500,1.6,127.3,96.7,5.2,earthquake
115,2015-11-11 23:36:19.200,-7.2,128.9,126,5.8,earthquake
116,2015-11-12 17:28:39.100,51.5,-175.1,39.4,5.2,earthquake
117,2015-11-13 06:04:17.200,-29.9,-64.5,27,5.6,earthquake
118,2015-11-13 06:54:49.100,-8.5,-75.9,117.6,5,earthquake
119,2015-11-13 12:21:37.000,17.3,147.2,16,5.4,earthquake
120,2015-11-13 12:54:38.400,17.3,147.2,10,5.1,earthquake
121,2015-11-13 20:51:31.000,31,128.9,12,6.7,earthquake
122,2015-11-14 05:25:35.500,7.2,-34.3,10,5.3,earthquake
123,2015-11-14 10:21:42.400,37.9,143.9,27.4,5.2,earthquake
124,2015-11-14 16:53:31.300,6.8,94.5,10,5.3,earthquake
125,2015-11-14 19:20:21.400,31.4,128.8,10,5.7,earthquake
126,2015-11-14 20:34:29.300,31.3,128.9,10,5.1,earthquake
127,2015-11-15 05:11:55.100,-24.8,-175.8,35,5,earthquake
128,2015-11-16 00:39:33.500,17.8,-81.8,6.7,5.8,earthquake
129,2015-11-16 03:31:42.200,52.1,173.6,31.3,5.1,earthquake
130,2015-11-16 11:04:28.600,-26.5,67.8,10,5,earthquake
131,2015-11-16 16:13:08.700,-24.8,-176,35,5,earthquake
132,2015-11-16 16:49:13.700,48.3,154.2,34,5.9,earthquake
133,2015-11-16 20:52:19.700,-30.3,-72,7.8,5,earthquake
134,2015-11-17 07:10:07.300,38.7,20.6,11,6.5,earthquake
135,2015-11-17 08:33:40.800,38.6,20.6,9,5.1,earthquake
136,2015-11-17 12:51:03.600,1.5,126.5,10,5,earthquake
137,2015-11-17 17:29:36.300,40.4,73.2,18,5.6,earthquake
138,2015-11-18 01:58:47.000,-6.5,130.3,116,5.2,earthquake
139,2015-11-18 04:38:50.900,31.4,129,27.5,5.1,earthquake
140,2015-11-18 10:36:56.700,-4.7,103.6,114,5,earthquake
141,2015-11-18 12:15:38.000,38.8,20.6,10,5,earthquake
142,2015-11-18 16:47:07.900,-6.3,103.7,33,5.1,earthquake
143,2015-11-18 18:31:04.600,-8.9,158.4,13.4,7,earthquake
144,2015-11-18 18:53:55.800,-9,158.5,10,5.1,earthquake
145,2015-11-19 03:47:31.800,-32.5,-176.7,39.5,5.1,earthquake
146,2015-11-20 05:33:58.200,26.3,142.7,10,5.1,earthquake
