id,time,lat,lon,depth,mag,event-type
us1000329u,2015-08-14T13:28:00.560,-27.3150,-176.0525,11.2,5.7,earthquake
us1000329x,2015-08-14T13:43:12.760,-27.0844,-176.0072,10.0,5.2,earthquake
us100032a0,2015-08-14T14:09:17.110,-26.0837,-177.0979,99.1,5.2,earthquake
us100032bg,2015-08-14T18:03:02.780,21.1039,-45.8517,10.0,5.5,earthquake
us100032ex,2015-08-14T22:03:34.560,-6.8732,131.3416,35.0,5.1,earthquake
us100032f6,2015-08-14T22:04:24.810,-26.3324,-177.8347,165.5,5.1,earthquake
us100032k6,2015-08-15T07:47:06.500,-10.8968,163.8226,8.0,6.4,earthquake
us100032kd,2015-08-15T08:19:33.190,-3.7469,101.7758,57.2,5.1,earthquake
us100032lh,2015-08-15T17:29:21.060,-26.9754,-176.2898,7.1,5.2,earthquake
us100032m5,2015-08-15T20:16:21.240,51.6744,-175.1577,32.0,5.7,earthquake
us100032nq,2015-08-16T08:49:03.470,-62.3587,-159.5136,10.0,5,earthquake
us100032q9,2015-08-16T21:05:10.840,-5.6835,154.0431,61.8,5.2,earthquake
us100032rq,2015-08-17T00:45:42.620,27.1054,143.6957,10.0,5.3,earthquake
us100032uc,2015-08-17T11:40:33.820,30.8186,131.0266,7.8,5.1,earthquake
us100032we,2015-08-17T14:42:33.030,21.9520,146.6278,10.0,5.7,earthquake
us100032x1,2015-08-17T16:16:59.190,13.7124,51.7823,10.0,5.7,earthquake
us1000331h,2015-08-17T23:39:32.980,-8.1634,123.0400,18.8,5,earthquake
us1000334a,2015-08-18T11:53:25.580,-56.1134,-26.4808,10.0,5.1,earthquake
us1000338w,2015-08-18T20:48:24.000,-7.3535,128.5973,163.9,5,earthquake
us1000339b,2015-08-18T21:19:44.530,35.6473,31.2871,47.3,5,earthquake
us100033iu,2015-08-19T22:15:47.760,-9.6935,28.6437,14.9,5.1,earthquake
us100033n1,2015-08-20T11:00:09.720,0.4854,126.5894,46.1,5.8,earthquake
us100033nw,2015-08-20T13:29:08.880,-8.0603,149.5530,52.4,5.5,earthquake
us1000342e,2015-08-21T18:45:40.970,-22.4517,-178.2033,380.4,5.2,earthquake
us10003461,2015-08-22T05:28:14.410,21.5228,143.0884,323.0,5,earthquake
