w,EqGPStime,lat,lon,depth,Mag
91,2015-10-11 00:59:03.200000,-54.5,-135.7,10.0,6.1
92,2015-12-10 15:04:02.400000,-17.0,175.3,16.2,5.1
93,2016-01-17 08:18:10.700000,19.8,-76.1,10.0,5.1
94,2016-01-17 08:30:59.700000,19.7,-76.1,10.0,5.2
95,2015-09-26 02:51:54.800000,-30.8,-71.3,46.0,6.3
96,2015-09-26 03:21:23.600000,-21.0,169.0,15.3,5.4
97,2016-01-18 13:44:34,-31.3,-178.7,95.0,5.1
98,2015-11-02 08:16:09.500000,51.6,-173.3,13.0,5.8
99,2015-11-02 08:24:58.500000,51.6,-173.3,10.0,5.1
100,2015-11-14 10:22:18.400000,37.9,143.9,27.4,5.2
101,2015-12-25 07:44:26,-15.3,167.6,121.4,5.1
102,2016-01-11 22:20:32.300000,-23.1,179.1,552.5,5.3
103,2015-11-08 09:35:33.300000,0.8,98.9,69.0,5.7
104,2015-12-13 05:53:56,55.0,111.6,12.3,5.1
105,2015-11-14 16:54:07.300000,6.8,94.5,10.0,5.3
106,2015-12-09 14:14:37.400000,-4.1,129.6,10.0,5.4
107,2015-11-08 08:14:13.400000,-17.3,-69.4,159.9,5.7
108,2016-01-05 20:36:52.700000,10.1,126.2,19.1,5.2
109,2015-11-08 11:33:50.600000,51.5,-173.0,20.0,5.7
110,2015-11-08 10:42:37.600000,6.9,94.5,8.0,5.5
111,2015-12-03 15:29:44.500000,-5.7,149.8,144.2,5.3
112,2016-01-06 13:19:31.600000,15.4,-95.2,10.0,5.3
113,2016-01-16 18:55:09.700000,-0.5,99.3,61.7,5.2
114,2015-12-23 06:43:58,49.3,155.6,47.8,5.0
115,2015-12-20 18:48:11.500000,3.6,117.6,6.9,6.1
116,2015-12-12 23:33:30.900000,-41.1,-90.1,10.0,5.5
117,2015-11-15 05:12:31.100000,-24.8,-175.8,35.0,5.0
118,2015-12-09 13:33:32.100000,-15.2,-177.8,401.5,5.3
119,2016-01-19 02:02:41.400000,2.1,96.7,16.5,5.3
120,2015-11-14 20:35:05.300000,31.3,128.9,10.0,5.1
121,2016-01-13 07:53:16.800000,12.2,125.6,83.0,5.0
122,2016-01-13 05:48:06.800000,0.4,92.3,10.0,5.1
