w,EqGPStime,lat,lon,depth,Mag
91,2015-11-18 01:59:23,-6.5,130.3,116.0,5.2
92,2015-10-10 08:56:41.400000,-60.7,-20.8,10.0,5.5
93,2015-09-17 02:21:41.500000,-32.0,-72.9,10.0,5.0
94,2015-11-27 21:00:59,-24.8,-70.6,35.0,6.2
95,2015-11-04 03:51:38.600000,-8.2,124.9,10.0,5.3
96,2016-01-08 21:55:30.400000,18.8,-107.1,31.1,5.3
97,2015-11-26 13:52:07.300000,-17.7,179.8,604.1,5.1
98,2015-11-01 15:16:53.500000,-23.2,-68.4,111.0,5.8
99,2015-11-01 05:42:47.500000,-39.4,175.9,55.4,5.3
100,2015-11-09 04:47:03.700000,-23.6,-69.0,99.2,5.3
101,2015-11-16 16:13:44.700000,-24.8,-176.0,35.0,5.0
102,2015-11-16 16:49:49.700000,48.3,154.2,34.0,5.9
103,2015-10-31 04:44:31.800000,-9.1,124.1,53.7,5.3
104,2015-10-04 10:12:32,-30.7,-71.6,29.9,5.0
105,2015-11-27 15:47:18.800000,2.9,96.5,45.0,5.0
106,2015-11-09 06:12:51.700000,6.5,94.9,23.3,5.3
107,2015-11-01 03:49:23.500000,41.6,142.0,47.0,5.4
108,2015-09-13 07:41:12.600000,24.9,-109.7,10.0,5.3
109,2015-11-27 08:34:37.600000,22.5,94.9,39.4,5.4
110,2015-11-27 11:47:03.200000,13.1,-88.9,52.0,5.6
111,2015-11-27 11:41:10.300000,34.8,73.9,5.0,5.0
112,2015-11-09 08:13:25.600000,6.4,94.8,35.0,5.5
113,2015-12-20 09:29:27.500000,12.9,124.4,107.8,5.2
114,2015-10-03 04:14:45.700000,-33.0,-178.3,10.0,5.0
115,2015-10-05 16:34:02.800000,-30.3,-71.5,34.0,5.9
116,2016-01-18 13:44:34,-31.3,-178.7,95.0,5.1
117,2015-12-21 12:37:48.300000,-18.2,-174.9,197.7,5.0
118,2015-11-07 20:58:27.800000,-10.2,111.2,10.0,5.0
119,2015-11-23 20:41:57.500000,17.0,-98.9,34.0,5.6
120,2015-10-18 16:19:11.500000,-16.2,-173.3,12.0,6.0
121,2015-10-03 06:04:18.100000,-37.5,-73.7,14.5,5.8
122,2015-12-07 10:05:34.300000,38.6,73.2,19.9,5.4
123,2015-10-03 09:44:34.500000,-26.2,70.8,10.0,5.4
124,2015-11-24 20:45:38.300000,-0.1,-17.8,10.0,5.5
125,2015-12-23 15:37:29.500000,-21.0,168.3,9.3,5.1
126,2015-12-23 16:18:27.600000,45.1,-28.0,10.0,5.0
127,2015-12-25 19:15:23.200000,36.5,71.1,206.0,6.3
128,2015-12-14 21:12:37.800000,52.8,-167.9,46.7,5.2
129,2015-12-23 22:28:54.500000,-17.3,-173.7,10.0,5.3
130,2015-09-22 07:13:36.500000,-31.4,-71.3,58.0,6.0
131,2015-10-03 06:27:31.800000,-30.3,-71.6,38.0,5.9
132,2016-01-09 14:13:13.100000,27.7,129.7,37.5,5.4
133,2015-12-24 19:44:39.100000,-55.8,-123.1,12.3,6.2
134,2015-10-25 14:48:28,18.3,-101.6,42.0,5.2
135,2015-12-21 15:44:40.800000,-4.4,152.0,162.0,5.7
136,2016-01-16 23:23:05,-3.9,127.2,4.1,5.6
137,2015-11-17 17:30:12.300000,40.4,73.2,18.0,5.6
138,2016-01-16 22:38:42.500000,-8.5,156.5,10.0,5.1
139,2015-09-19 12:52:56.900000,-32.3,-72.1,18.0,6.2
140,2016-01-07 15:41:19.100000,-41.7,-74.1,24.1,5.0
141,2015-12-24 20:19:18.700000,-3.7,151.3,10.0,5.1
142,2015-12-23 16:55:45.900000,-54.2,-1.4,10.0,5.8
143,2015-12-14 22:56:53.200000,-5.4,153.1,37.5,5.0
144,2015-10-20 00:37:30.500000,12.9,143.9,78.0,5.4
145,2015-12-20 07:29:47,-28.3,-176.3,10.0,5.2
146,2015-09-30 16:07:28.300000,-56.2,-27.7,101.0,5.7
147,2015-09-30 17:26:30.200000,18.0,-101.3,42.0,5.4
148,2015-09-16 07:41:34.700000,1.9,126.4,41.6,6.3
149,2015-11-25 04:47:26.800000,31.4,140.1,124.7,5.0
150,2016-01-16 09:43:09.400000,-37.9,-75.3,10.0,5.1
151,2015-10-03 11:21:37.700000,-29.8,-71.7,28.5,5.1
152,2016-01-16 16:58:36.700000,8.9,-84.2,24.9,5.2
153,2015-10-20 09:29:44.800000,27.1,140.2,304.0,5.7
154,2015-11-25 18:58:17.600000,1.4,126.3,33.2,5.7
155,2015-11-25 21:17:54.500000,31.9,49.5,12.0,5.4
156,2015-12-15 00:21:09.500000,25.7,141.9,55.5,5.1
157,2015-10-02 15:52:29.300000,1.3,125.0,109.8,5.2
158,2015-11-26 00:17:58.800000,-4.8,145.1,187.2,5.1
159,2015-10-04 14:51:10.400000,-16.3,-72.1,92.0,5.3
160,2015-09-19 04:34:24.200000,-30.4,-72.8,10.0,5.0
161,2015-09-19 05:07:23.500000,-29.6,-72.1,6.0,6.1
162,2015-11-22 08:11:51.800000,16.9,-96.4,49.0,5.0
163,2016-01-15 00:57:24,-62.2,155.8,10.0,5.1
164,2015-10-03 08:24:25.200000,11.9,-43.7,10.0,5.0
165,2015-12-26 04:43:51.200000,-42.0,84.5,10.0,5.4
166,2015-12-26 05:40:44,-36.5,-99.5,10.0,5.1
167,2015-10-04 03:50:25.500000,-30.3,-72.1,5.9,5.5
168,2015-10-20 20:33:48.100000,-57.4,-65.9,9.1,5.6
169,2015-11-09 13:58:12.400000,-7.0,150.8,7.6,5.1
170,2015-11-20 05:32:28.500000,26.4,142.6,14.0,5.8
171,2016-01-16 04:36:32.900000,-10.0,123.6,14.1,5.0
172,2015-09-16 14:03:58.100000,-6.0,151.5,6.0,6.1
173,2016-01-11 02:04:38,51.7,179.0,72.1,5.1
174,2015-12-04 19:23:52.300000,29.0,52.0,25.2,5.0
175,2016-01-08 09:07:45.500000,36.6,70.9,219.0,5.0
176,2016-01-10 22:08:13.700000,-11.6,166.4,67.3,5.0
177,2015-11-27 21:45:49,-24.7,-70.5,38.9,5.0
178,2015-11-25 11:23:38,4.2,125.8,141.0,5.0
179,2016-01-18 18:24:54.400000,-21.4,176.1,7.0,5.8
180,2015-12-31 21:30:14.900000,-30.4,-178.0,27.3,5.4
181,2015-11-07 19:40:49.500000,16.5,119.8,37.0,5.5
182,2016-01-08 01:12:37,-30.7,-71.7,30.9,5.6
183,2015-12-27 15:20:25.100000,-33.0,-108.8,10.0,5.3
184,2015-11-17 08:34:16.800000,38.6,20.6,9.0,5.1
185,2015-11-02 08:16:09.500000,51.6,-173.3,13.0,5.8
186,2015-11-02 08:31:51.300000,51.6,-173.3,10.0,5.3
187,2016-01-16 18:55:09.700000,-0.5,99.3,61.7,5.2
